id;nom;durée;style;niveau;audience;objectif;description
renforcement_debutant_cardio_10;Renforcement Cardio Débutant 10 min;10 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Consignes simples, sécurité, tempo maîtrisé. Durée 10 min.
renforcement_debutant_cardio_15;Renforcement Cardio Débutant 15 min;15 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Consignes simples, sécurité, tempo maîtrisé. Durée 15 min.
renforcement_debutant_cardio_20;Renforcement Cardio Débutant 20 min;20 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Consignes simples, sécurité, tempo maîtrisé. Durée 20 min.
renforcement_debutant_cardio_30;Renforcement Cardio Débutant 30 min;30 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Consignes simples, sécurité, tempo maîtrisé. Durée 30 min.
renforcement_debutant_cardio_45;Renforcement Cardio Débutant 45 min;45 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Consignes simples, sécurité, tempo maîtrisé. Durée 45 min.
renforcement_debutant_cardio_60;Renforcement Cardio Débutant 60 min;60 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Consignes simples, sécurité, tempo maîtrisé. Durée 60 min.
renforcement_debutant_cardio_75;Renforcement Cardio Débutant 75 min;75 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Consignes simples, sécurité, tempo maîtrisé. Durée 75 min.
renforcement_debutant_boxe_10;Renforcement Boxe Débutant 10 min;10 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Consignes simples, sécurité, tempo maîtrisé. Durée 10 min.
renforcement_debutant_boxe_15;Renforcement Boxe Débutant 15 min;15 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Consignes simples, sécurité, tempo maîtrisé. Durée 15 min.
renforcement_debutant_boxe_20;Renforcement Boxe Débutant 20 min;20 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Consignes simples, sécurité, tempo maîtrisé. Durée 20 min.
renforcement_debutant_boxe_30;Renforcement Boxe Débutant 30 min;30 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Consignes simples, sécurité, tempo maîtrisé. Durée 30 min.
renforcement_debutant_boxe_45;Renforcement Boxe Débutant 45 min;45 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Consignes simples, sécurité, tempo maîtrisé. Durée 45 min.
renforcement_debutant_boxe_60;Renforcement Boxe Débutant 60 min;60 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Consignes simples, sécurité, tempo maîtrisé. Durée 60 min.
renforcement_debutant_boxe_75;Renforcement Boxe Débutant 75 min;75 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Consignes simples, sécurité, tempo maîtrisé. Durée 75 min.
renforcement_debutant_mobilit_10;Renforcement Mobilité Débutant 10 min;10 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Consignes simples, sécurité, tempo maîtrisé. Durée 10 min.
renforcement_debutant_mobilit_15;Renforcement Mobilité Débutant 15 min;15 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Consignes simples, sécurité, tempo maîtrisé. Durée 15 min.
renforcement_debutant_mobilit_20;Renforcement Mobilité Débutant 20 min;20 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Consignes simples, sécurité, tempo maîtrisé. Durée 20 min.
renforcement_debutant_mobilit_30;Renforcement Mobilité Débutant 30 min;30 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Consignes simples, sécurité, tempo maîtrisé. Durée 30 min.
renforcement_debutant_mobilit_45;Renforcement Mobilité Débutant 45 min;45 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Consignes simples, sécurité, tempo maîtrisé. Durée 45 min.
renforcement_debutant_mobilit_60;Renforcement Mobilité Débutant 60 min;60 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Consignes simples, sécurité, tempo maîtrisé. Durée 60 min.
renforcement_debutant_mobilit_75;Renforcement Mobilité Débutant 75 min;75 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Consignes simples, sécurité, tempo maîtrisé. Durée 75 min.
renforcement_debutant_hyrox_10;Renforcement Hyrox Débutant 10 min;10 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Consignes simples, sécurité, tempo maîtrisé. Durée 10 min.
renforcement_debutant_hyrox_15;Renforcement Hyrox Débutant 15 min;15 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Consignes simples, sécurité, tempo maîtrisé. Durée 15 min.
renforcement_debutant_hyrox_20;Renforcement Hyrox Débutant 20 min;20 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Consignes simples, sécurité, tempo maîtrisé. Durée 20 min.
renforcement_debutant_hyrox_30;Renforcement Hyrox Débutant 30 min;30 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Consignes simples, sécurité, tempo maîtrisé. Durée 30 min.
renforcement_debutant_hyrox_45;Renforcement Hyrox Débutant 45 min;45 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Consignes simples, sécurité, tempo maîtrisé. Durée 45 min.
renforcement_debutant_hyrox_60;Renforcement Hyrox Débutant 60 min;60 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Consignes simples, sécurité, tempo maîtrisé. Durée 60 min.
renforcement_debutant_hyrox_75;Renforcement Hyrox Débutant 75 min;75 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Consignes simples, sécurité, tempo maîtrisé. Durée 75 min.
renforcement_debutant_push_10;Renforcement Push Débutant 10 min;10 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Consignes simples, sécurité, tempo maîtrisé. Durée 10 min.
renforcement_debutant_push_15;Renforcement Push Débutant 15 min;15 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Consignes simples, sécurité, tempo maîtrisé. Durée 15 min.
renforcement_debutant_push_20;Renforcement Push Débutant 20 min;20 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Consignes simples, sécurité, tempo maîtrisé. Durée 20 min.
renforcement_debutant_push_30;Renforcement Push Débutant 30 min;30 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Consignes simples, sécurité, tempo maîtrisé. Durée 30 min.
renforcement_debutant_push_45;Renforcement Push Débutant 45 min;45 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Consignes simples, sécurité, tempo maîtrisé. Durée 45 min.
renforcement_debutant_push_60;Renforcement Push Débutant 60 min;60 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Consignes simples, sécurité, tempo maîtrisé. Durée 60 min.
renforcement_debutant_push_75;Renforcement Push Débutant 75 min;75 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Consignes simples, sécurité, tempo maîtrisé. Durée 75 min.
renforcement_debutant_pull_10;Renforcement Pull Débutant 10 min;10 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Consignes simples, sécurité, tempo maîtrisé. Durée 10 min.
renforcement_debutant_pull_15;Renforcement Pull Débutant 15 min;15 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Consignes simples, sécurité, tempo maîtrisé. Durée 15 min.
renforcement_debutant_pull_20;Renforcement Pull Débutant 20 min;20 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Consignes simples, sécurité, tempo maîtrisé. Durée 20 min.
renforcement_debutant_pull_30;Renforcement Pull Débutant 30 min;30 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Consignes simples, sécurité, tempo maîtrisé. Durée 30 min.
renforcement_debutant_pull_45;Renforcement Pull Débutant 45 min;45 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Consignes simples, sécurité, tempo maîtrisé. Durée 45 min.
renforcement_debutant_pull_60;Renforcement Pull Débutant 60 min;60 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Consignes simples, sécurité, tempo maîtrisé. Durée 60 min.
renforcement_debutant_pull_75;Renforcement Pull Débutant 75 min;75 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Consignes simples, sécurité, tempo maîtrisé. Durée 75 min.
renforcement_debutant_jambes_fessiers_10;Renforcement Jambes fessiers Débutant 10 min;10 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Consignes simples, sécurité, tempo maîtrisé. Durée 10 min.
renforcement_debutant_jambes_fessiers_15;Renforcement Jambes fessiers Débutant 15 min;15 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Consignes simples, sécurité, tempo maîtrisé. Durée 15 min.
renforcement_debutant_jambes_fessiers_20;Renforcement Jambes fessiers Débutant 20 min;20 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Consignes simples, sécurité, tempo maîtrisé. Durée 20 min.
renforcement_debutant_jambes_fessiers_30;Renforcement Jambes fessiers Débutant 30 min;30 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Consignes simples, sécurité, tempo maîtrisé. Durée 30 min.
renforcement_debutant_jambes_fessiers_45;Renforcement Jambes fessiers Débutant 45 min;45 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Consignes simples, sécurité, tempo maîtrisé. Durée 45 min.
renforcement_debutant_jambes_fessiers_60;Renforcement Jambes fessiers Débutant 60 min;60 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Consignes simples, sécurité, tempo maîtrisé. Durée 60 min.
renforcement_debutant_jambes_fessiers_75;Renforcement Jambes fessiers Débutant 75 min;75 min;renforcement;Débutant;Débutant;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Consignes simples, sécurité, tempo maîtrisé. Durée 75 min.
renforcement_intermediaire_full_body_10;Renforcement Full body Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tout le corps. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_full_body_15;Renforcement Full body Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tout le corps. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_full_body_20;Renforcement Full body Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tout le corps. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_full_body_30;Renforcement Full body Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tout le corps. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_full_body_45;Renforcement Full body Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tout le corps. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_full_body_60;Renforcement Full body Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tout le corps. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_full_body_75;Renforcement Full body Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tout le corps. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_haut_du_corps_10;Renforcement Haut du corps Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Pectoraux, dos, épaules, bras. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_haut_du_corps_15;Renforcement Haut du corps Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Pectoraux, dos, épaules, bras. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_haut_du_corps_20;Renforcement Haut du corps Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Pectoraux, dos, épaules, bras. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_haut_du_corps_30;Renforcement Haut du corps Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Pectoraux, dos, épaules, bras. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_haut_du_corps_45;Renforcement Haut du corps Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Pectoraux, dos, épaules, bras. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_haut_du_corps_60;Renforcement Haut du corps Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Pectoraux, dos, épaules, bras. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_haut_du_corps_75;Renforcement Haut du corps Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Pectoraux, dos, épaules, bras. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_bas_du_corps_10;Renforcement Bas du corps Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes, fessiers, stabilité. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_bas_du_corps_15;Renforcement Bas du corps Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes, fessiers, stabilité. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_bas_du_corps_20;Renforcement Bas du corps Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes, fessiers, stabilité. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_bas_du_corps_30;Renforcement Bas du corps Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes, fessiers, stabilité. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_bas_du_corps_45;Renforcement Bas du corps Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes, fessiers, stabilité. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_bas_du_corps_60;Renforcement Bas du corps Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes, fessiers, stabilité. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_bas_du_corps_75;Renforcement Bas du corps Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes, fessiers, stabilité. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_core_10;Renforcement Core Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Abdos, gainage, posture. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_core_15;Renforcement Core Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Abdos, gainage, posture. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_core_20;Renforcement Core Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Abdos, gainage, posture. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_core_30;Renforcement Core Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Abdos, gainage, posture. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_core_45;Renforcement Core Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Abdos, gainage, posture. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_core_60;Renforcement Core Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Abdos, gainage, posture. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_core_75;Renforcement Core Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Abdos, gainage, posture. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_cardio_10;Renforcement Cardio Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_cardio_15;Renforcement Cardio Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_cardio_20;Renforcement Cardio Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_cardio_30;Renforcement Cardio Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_cardio_45;Renforcement Cardio Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_cardio_60;Renforcement Cardio Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_cardio_75;Renforcement Cardio Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Cardio et dépense. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_boxe_10;Renforcement Boxe Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_boxe_15;Renforcement Boxe Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_boxe_20;Renforcement Boxe Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_boxe_30;Renforcement Boxe Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_boxe_45;Renforcement Boxe Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_boxe_60;Renforcement Boxe Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_boxe_75;Renforcement Boxe Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Appuis, frappes, coordination. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_mobilit_10;Renforcement Mobilité Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_mobilit_15;Renforcement Mobilité Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_mobilit_20;Renforcement Mobilité Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_mobilit_30;Renforcement Mobilité Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_mobilit_45;Renforcement Mobilité Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_mobilit_60;Renforcement Mobilité Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_mobilit_75;Renforcement Mobilité Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Amplitude, prévention. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_hyrox_10;Renforcement Hyrox Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_hyrox_15;Renforcement Hyrox Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_hyrox_20;Renforcement Hyrox Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_hyrox_30;Renforcement Hyrox Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_hyrox_45;Renforcement Hyrox Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_hyrox_60;Renforcement Hyrox Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_hyrox_75;Renforcement Hyrox Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Stations Hyrox. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_push_10;Renforcement Push Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_push_15;Renforcement Push Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_push_20;Renforcement Push Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_push_30;Renforcement Push Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_push_45;Renforcement Push Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_push_60;Renforcement Push Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_push_75;Renforcement Push Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Poussée : pectoraux, épaules, triceps. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_pull_10;Renforcement Pull Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Plus dense, variations possibles. Durée 10 min.
renforcement_intermediaire_pull_15;Renforcement Pull Intermédiaire 15 min;15 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Plus dense, variations possibles. Durée 15 min.
renforcement_intermediaire_pull_20;Renforcement Pull Intermédiaire 20 min;20 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Plus dense, variations possibles. Durée 20 min.
renforcement_intermediaire_pull_30;Renforcement Pull Intermédiaire 30 min;30 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Plus dense, variations possibles. Durée 30 min.
renforcement_intermediaire_pull_45;Renforcement Pull Intermédiaire 45 min;45 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Plus dense, variations possibles. Durée 45 min.
renforcement_intermediaire_pull_60;Renforcement Pull Intermédiaire 60 min;60 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Plus dense, variations possibles. Durée 60 min.
renforcement_intermediaire_pull_75;Renforcement Pull Intermédiaire 75 min;75 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Tirage : dos, biceps, posture. Plus dense, variations possibles. Durée 75 min.
renforcement_intermediaire_jambes_fessiers_10;Renforcement Jambes fessiers Intermédiaire 10 min;10 min;renforcement;Intermédiaire;Intermédiaire;remise_forme;Force propre, contrôle, progression. Jambes et fessiers. Plus dense, variations possibles. Durée 10 min.
